DATE,GEXPND_GDP
1987-10-01,0.32460961414889874069
1988-01-01,0.32490935023097064438
1988-04-01,0.31986001638524279986
1988-07-01,0.31804438336612822471
1988-10-01,0.31940663493662108907
1989-01-01,0.31935351180575451717
1989-04-01,0.32049654492154335806
1989-07-01,0.32048534202812286833
1989-10-01,0.32341071022475669613
1990-01-01,0.32373059687527085067
1990-04-01,0.32529461270987317509
1990-07-01,0.32678189414800978069
1990-10-01,0.33405415361515657732
1991-01-01,0.32738835540559035707
1991-04-01,0.33543076374170007420
1991-07-01,0.33907305214345553298
1991-10-01,0.34376171275145501505
1992-01-01,0.34629776483230977596
1992-04-01,0.34607711640806501490
1992-07-01,0.34619099780237719711
1992-10-01,0.34436384368765251722
1993-01-01,0.34320663815620245253
1993-04-01,0.34118311237624540329
1993-07-01,0.34175755707053285205
